Job Name: DavesJob
Running on 4 nodes with 16 tasks per node
Total tasks: 64
Final Histogram (128 bins):
Bin 0: 62471
Bin 1: 62546
Bin 2: 62681
Bin 3: 62808
Bin 4: 62386
Bin 5: 62543
Bin 6: 62754
Bin 7: 62391
Bin 8: 62615
Bin 9: 62551
Bin 10: 62641
Bin 11: 62386
Bin 12: 62954
Bin 13: 62214
Bin 14: 62551
Bin 15: 62260
Bin 16: 62251
Bin 17: 62986
Bin 18: 62422
Bin 19: 62636
Bin 20: 62432
Bin 21: 62516
Bin 22: 62591
Bin 23: 62388
Bin 24: 62835
Bin 25: 62302
Bin 26: 62524
Bin 27: 62633
Bin 28: 62581
Bin 29: 62376
Bin 30: 62882
Bin 31: 62656
Bin 32: 62664
Bin 33: 62314
Bin 34: 62388
Bin 35: 62218
Bin 36: 62685
Bin 37: 62236
Bin 38: 62161
Bin 39: 62724
Bin 40: 62574
Bin 41: 62624
Bin 42: 62735
Bin 43: 62495
Bin 44: 62682
Bin 45: 62505
Bin 46: 62255
Bin 47: 62447
Bin 48: 62465
Bin 49: 62578
Bin 50: 62383
Bin 51: 62074
Bin 52: 62937
Bin 53: 61788
Bin 54: 62725
Bin 55: 62423
Bin 56: 62244
Bin 57: 62453
Bin 58: 62727
Bin 59: 62284
Bin 60: 62668
Bin 61: 62260
Bin 62: 62231
Bin 63: 62901
Bin 64: 62413
Bin 65: 62338
Bin 66: 62764
Bin 67: 62526
Bin 68: 62720
Bin 69: 62532
Bin 70: 61973
Bin 71: 62344
Bin 72: 62666
Bin 73: 62818
Bin 74: 62392
Bin 75: 62238
Bin 76: 62717
Bin 77: 62703
Bin 78: 62474
Bin 79: 62780
Bin 80: 62566
Bin 81: 62615
Bin 82: 61907
Bin 83: 62339
Bin 84: 62243
Bin 85: 62376
Bin 86: 62445
Bin 87: 62282
Bin 88: 62558
Bin 89: 62574
Bin 90: 62665
Bin 91: 62246
Bin 92: 62721
Bin 93: 62340
Bin 94: 62148
Bin 95: 62158
Bin 96: 62605
Bin 97: 62639
Bin 98: 61885
Bin 99: 62573
Bin 100: 63011
Bin 101: 62379
Bin 102: 62155
Bin 103: 62530
Bin 104: 62452
Bin 105: 62606
Bin 106: 62243
Bin 107: 62160
Bin 108: 62810
Bin 109: 62670
Bin 110: 62869
Bin 111: 63054
Bin 112: 62987
Bin 113: 61851
Bin 114: 62619
Bin 115: 62395
Bin 116: 63052
Bin 117: 61997
Bin 118: 62486
Bin 119: 62322
Bin 120: 62851
Bin 121: 62641
Bin 122: 62260
Bin 123: 62610
Bin 124: 62782
Bin 125: 62684
Bin 126: 62332
Bin 127: 62298
Total values tallied: 8000000 (expected ~8000000)
Time elapsed: 0.0539427 seconds
